what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1337464833264
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1337464833264
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1337464833280
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1337464833295
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1337464833311
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1337464833311
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1337464833326
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1337464833342
os,sysinfo,,,"win32",1337464833342
arch,sysinfo,,,"x86",1337464833342
ws,sysinfo,,,"win32",1337464833342
locale,sysinfo,,,"pt_BR",1337464833342
processors,sysinfo,,,"2",1337464833342
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1337464833342
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1337464833342
java.specification.name,sysinfo,,,"Java Platform API Specification",1337464833342
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1337464833342
java.specification.version,sysinfo,,,"1.6",1337464833342
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1337464833342
java.version,sysinfo,,,"1.6.0_31",1337464833342
java.vm.info,sysinfo,,,"mixed mode, sharing",1337464833342
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1337464833342
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1337464833342
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1337464833342
java.vm.specification.version,sysinfo,,,"1.0",1337464833342
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1337464833342
java.vm.version,sysinfo,,,"20.6-b01",1337464833342
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1337464833389
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1337464833420
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1337464833467
activated,view,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CView",1337464835978
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1337464844028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337464848978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337464855006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337464871002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337465132920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337465133544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337466453881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337466453991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337466455129
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337466455317
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1337466455909
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1337466455925
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1337466456518
stopped,bundle,org.eclipse.mylyn.help.ui,3.6.1.v20110830-0100,"org.eclipse.mylyn.help.ui",1337466456533
stopped,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1337466456533
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.6.1.v20110825-0100,"org.eclipse.mylyn.tasks.bugs",1337466456533
stopped,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1337466456533
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1337466456533
stopped,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1337466456533
stopped,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1337466456549
stopped,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1337466456549
stopped,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1337466456549
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1337466456549
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1337466456549
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1337466631199
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1337466631199
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1337466631199
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1337466631199
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1337466631199
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1337466631199
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1337466631199
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1337466631199
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1337466631215
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1337466631215
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1337466631215
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1337466631215
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1337466631215
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1337466631215
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1337466631215
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1337466631215
